method,name,value
lstsq,B0,-3482258.634597936
lstsq,B1,15.061872271548523
lstsq,B2,-0.03581917929264833
lstsq,B3,-2.020229803817572
lstsq,B4,-1.0332268671737652
lstsq,B5,-0.05110410565365964
lstsq,B6,1829.1514646146443
lstsq,B0_sd,890420.3836073662
lstsq,B1_sd,84.91492577476347
lstsq,B2_sd,0.03349100777224367
lstsq,B3_sd,0.48839968165164344
lstsq,B4_sd,0.21427416316165535
lstsq,B5_sd,0.22607320006933831
lstsq,B6_sd,455.47849914221194
lstsq,residual_sd,304.85407356197254
lstsq,r_squared,0.9954790045772953
normal-equations,B0,-3482258.6562221944
normal-equations,B1,15.061872827482148
normal-equations,B2,-0.03581917996460904
normal-equations,B3,-2.0202298128826293
normal-equations,B4,-1.0332268699138734
normal-equations,B5,-0.05110410367756124
normal-equations,B6,1829.1514744503183
normal-equations,B0_sd,890420.3862309877
normal-equations,B1_sd,84.91492579204346
normal-equations,B2_sd,0.03349100784023361
normal-equations,B3_sd,0.4883996826857046
normal-equations,B4_sd,0.2142741633648458
normal-equations,B5_sd,0.22607320019972285
normal-equations,B6_sd,455.47850048245294
normal-equations,residual_sd,304.85407357878256
normal-equations,r_squared,0.9954790045767968
